feature,count,mean,std,min,1%,5%,25%,50%,75%,95%,99%,max,skewness,zero_percentage,missing
mean_speed_mps,19948.0,5.3537299940132685,3.1537529061522447,0.022035884715073,0.4987043997166849,1.3411196037736939,2.498985205704116,5.21662320825571,7.394981659965156,11.061557994844792,13.974867985240715,22.372927770964218,0.6482264779834817,0.0,0
max_speed_mps,19948.0,10.084619574962751,2.6570545607393754,0.8981046624315397,4.626829645614114,6.073199956082639,8.322616535666276,9.965982434979836,11.714090897721675,14.4117563277446,16.606901295908344,99.46676235937298,2.303991816520164,0.0,0
speed_std_mps,19948.0,2.100883425764744,1.0664805871589305,0.0484256450456645,0.28244848994955063,0.5346528961731534,1.210415065164325,2.0399762802983616,2.896449786718118,3.928029971351914,4.523417867351316,6.26377520771262,0.2852313011070395,0.0,0
mean_long_acc_mps2,19948.0,0.15711455534171792,0.2884728098544671,-1.7180715201369847,-0.5643730211042446,-0.30177589794815946,0.014409964887057699,0.12399143236402504,0.2995785653469988,0.6670583319475466,0.9754240205282309,2.308665654799265,0.2961506904414524,0.0,0
max_acceleration_mps2,19948.0,1.9602005184175286,1.8836998905793099,0.0,0.16648588453825822,0.500995061131302,1.0784640305797182,1.555750554383208,2.145588273546262,5.357811627973001,9.346378666316214,126.18548058368916,16.50950165935827,0.29075596551032684,0
max_deceleration_mps2,19948.0,1.5330113595105173,1.4774650297458252,-0.0,0.0,0.18836830787351136,0.8300922774253906,1.4264730046349665,2.0560658983137277,3.109853866623123,4.255755173530707,115.73616091582632,35.588568945109515,2.2007218768798875,0
acceleration_std_mps2,19948.0,0.7334081528351309,0.3761280599730662,0.0559319305895356,0.1605234159251458,0.2769368807707306,0.4952706745698632,0.6667851454644781,0.8829431675828661,1.4199312730289044,2.1103747316873687,8.071730749680286,2.2137265802059423,0.0,0
mean_abs_jerk_mps3,19948.0,0.5552015081974064,0.3165019958929779,0.0080064803414133,0.1672201853307014,0.22382732940372815,0.34374190486761125,0.4794929873456041,0.6735233030101087,1.16013493149418,1.6551974983038378,6.552034223771554,2.5469334468754026,0.0,0
observed_stop_transition_count,19948.0,0.493934228995388,0.8263915828244224,0.0,0.0,0.0,0.0,0.0,1.0,2.0,4.0,15.0,3.6605295632104338,61.785642670944455,0
stopped_time_ratio,19948.0,0.208045896066248,0.2858880021589568,0.0,0.0,0.0,0.0,0.0,0.5010264257153707,0.7187220268542198,0.8310305447976678,0.9951902673645494,0.8754364397002192,59.37437337076399,0
